Date,Open,High,Low,Close,Adj Close,Volume
28-12-2020,2006.699951,2018,1995.300049,2003.300049,1996.876221,7947719
29-12-2020,2009,2012.300049,1982.550049,1990.050049,1983.668701,8589407
30-12-2020,1995.25,2007.199951,1975.550049,1995.5,1989.101196,10173132
31-12-2020,1993.5,2011.900024,1978.599976,1985.300049,1978.93396,8667516
01-01-2021,1988,1997,1982,1987.5,1981.126831,4622002
04-01-2021,1995.099976,1998.900024,1968,1990.849976,1984.466064,11312992
05-01-2021,1969,1983.599976,1956,1966.099976,1959.79541,11132803
06-01-2021,1965.900024,1966,1905.150024,1914.25,1908.111694,21414270
07-01-2021,1920.5,1945,1905.150024,1911.150024,1905.021729,14918406
08-01-2021,1918,1938.400024,1912.099976,1933.699951,1927.499268,12709792
11-01-2021,1938.800049,1938.800049,1892.5,1897.25,1891.16626,15371556
12-01-2021,1903,1960,1899.900024,1957.050049,1950.774536,18996047
13-01-2021,1963.550049,1974.949951,1918.449951,1938.800049,1932.58313,12284876
14-01-2021,1945,1966.900024,1939.050049,1960.599976,1954.31311,9946818
15-01-2021,1960.599976,1973.800049,1920.050049,1937.449951,1931.237305,9503790
18-01-2021,1949.099976,1997,1923.349976,1983.949951,1977.588257,16198856
19-01-2021,1994.650024,2031,1994.650024,2016.400024,2009.934204,14771048
20-01-2021,2021.400024,2058,2001.400024,2054.699951,2048.111328,14271669
21-01-2021,2082,2120,2075,2099.399902,2092.667969,18038987
22-01-2021,2111,2115.350098,2035.150024,2049.600098,2043.027832,14090818
25-01-2021,2034.949951,2034.949951,1932,1941,1934.776001,25016570
27-01-2021,1925,1925,1888,1895,1888.923462,19553809
28-01-2021,1880.150024,1923.300049,1870,1876.550049,1870.532715,15722291
29-01-2021,1894.300049,1913.099976,1830,1841.949951,1836.043579,20173258
01-02-2021,1859.400024,1905,1848,1895.300049,1889.222534,15774504
02-02-2021,1914.25,1940,1854.949951,1925.800049,1919.624756,19138414
03-02-2021,1928.300049,1952,1900,1930.650024,1924.459229,13984228
04-02-2021,1924,1940,1905,1924.300049,1918.129517,11826848
05-02-2021,1930.050049,1944.650024,1920,1923.75,1917.581299,9344470
08-02-2021,1933.050049,1969,1929.050049,1951.449951,1945.192383,9776136
09-02-2021,1961.949951,1989.599976,1952.300049,1956.150024,1949.877441,9047308
10-02-2021,1953.75,1984.75,1927.300049,1974.300049,1967.969238,9799560
11-02-2021,1980,2064.199951,1972.25,2055.699951,2049.108154,19631870
12-02-2021,2055.5,2078,2015.400024,2041.599976,2035.053345,14074374
15-02-2021,2048.050049,2061.300049,2025,2032.599976,2026.082275,7287590
16-02-2021,2039.75,2079.399902,2035,2059.5,2052.895996,9886093
17-02-2021,2060,2095.949951,2050.600098,2083.25,2076.569824,10957388
18-02-2021,2085,2108.399902,2059.100098,2067.699951,2061.06958,8605531
19-02-2021,2057,2104.949951,2053.300049,2080.300049,2073.629395,10800704
22-02-2021,2080,2089.899902,1994.949951,2008.099976,2001.660767,10985697
23-02-2021,2048,2052.899902,2013.599976,2023.449951,2016.961548,11834752
24-02-2021,2030,2065.25,2026.150024,2061,2054.391113,4987735
25-02-2021,2076,2152,2073,2144.350098,2137.474121,16085897
26-02-2021,2117,2133.899902,2070.699951,2085.800049,2079.111816,17297575
01-03-2021,2110.199951,2112,2062.5,2101.699951,2094.960693,8159670
02-03-2021,2122,2130,2089.100098,2106,2099.246826,7915073
03-03-2021,2121.050049,2219.899902,2107.199951,2202.100098,2195.038818,14733134
04-03-2021,2180,2189.949951,2157.699951,2175.850098,2168.873047,9892597
05-03-2021,2156,2211.949951,2153.050049,2178.699951,2171.713623,11773630
08-03-2021,2168.5,2231.899902,2168,2191.100098,2184.073975,9002404
09-03-2021,2200,2213.800049,2146.600098,2191.050049,2184.02417,6993792
10-03-2021,2207,2215.100098,2170.25,2181.949951,2174.953369,5316182
12-03-2021,2195,2206.399902,2123.899902,2137.600098,2130.745605,7783173
15-03-2021,2140.050049,2148.899902,2080.5,2108.899902,2102.137451,7706170
16-03-2021,2114,2126,2095.5,2100.600098,2093.864258,6402757
17-03-2021,2098.050049,2103,2035.099976,2055.350098,2048.759277,8865521
18-03-2021,2072.899902,2084.800049,2001,2009.099976,2002.657593,9528809
19-03-2021,1991,2095.850098,1982.800049,2082,2075.32373,19284892
22-03-2021,2071,2074,2033.199951,2062.399902,2055.786621,8571196
23-03-2021,2061.949951,2109.699951,2056,2087.5,2080.806152,8039865
24-03-2021,2079.75,2079.75,2040.400024,2047.300049,2040.735107,7763726
25-03-2021,2054,2054,1985,1991.449951,1985.064087,10153757
26-03-2021,2012,2013.699951,1973.699951,1994.650024,1988.253906,9313160
30-03-2021,2008,2048.899902,1991.550049,2029.300049,2022.792847,9433842
31-03-2021,2018,2049.899902,1999,2003.099976,1996.676758,7499740
01-04-2021,2018,2030,2003.150024,2021.849976,2015.366699,5410307
05-04-2021,2024.949951,2025,1962.099976,1992.599976,1986.210449,6864856
06-04-2021,2004,2004.949951,1969,1984.300049,1977.937134,6465241
07-04-2021,2000,2046.900024,1993.300049,2002.849976,1996.427612,11198918
08-04-2021,2011,2022,1993,2005.349976,1998.919556,7092878
09-04-2021,1998.449951,2006.349976,1980,1982.050049,1975.694336,6478482
12-04-2021,1959,1961.400024,1900.25,1911.150024,1905.021729,9646031
13-04-2021,1924,1940.599976,1917.849976,1931.800049,1925.605469,8958261
15-04-2021,1926.300049,1961,1913,1944.300049,1938.06543,9102492
16-04-2021,1936.599976,1949.900024,1926.449951,1932.099976,1925.904541,7225679
19-04-2021,1904,1916.400024,1890,1901.699951,1895.601929,8527967
20-04-2021,1910.5,1919,1890.449951,1901.150024,1895.053833,7939490
22-04-2021,1892.25,1914.449951,1876.699951,1906.400024,1900.286987,6687573
23-04-2021,1906,1918.900024,1895.349976,1904.349976,1898.243408,5459016
26-04-2021,1920,1962,1911.5,1937.849976,1931.635986,9620785
27-04-2021,1940,1997.199951,1938.25,1988.650024,1982.273193,9226547
28-04-2021,1997.849976,2008,1980.150024,1997.300049,1990.895508,7902002
29-04-2021,2022.900024,2044.5,2007.300049,2024.050049,2017.559692,8035915
30-04-2021,2008.5,2036,1987.550049,1994.5,1988.10437,9150974
03-05-2021,1966,1979,1943.099976,1959.050049,1952.768188,10909942
04-05-2021,1950,1967.800049,1911,1916.599976,1910.454224,10083693
05-05-2021,1923.349976,1938.5,1908.050049,1920.099976,1913.942993,5719649
06-05-2021,1921.849976,1935,1906.599976,1931,1924.807983,6749281
07-05-2021,1937.75,1955.650024,1926,1931.75,1925.555664,5671163
10-05-2021,1939,1946.800049,1920.949951,1926.199951,1920.023438,6433879
11-05-2021,1915,1938.550049,1910,1933.150024,1926.951172,6220217
12-05-2021,1930.099976,1932.900024,1907,1913.150024,1907.015259,6081627
14-05-2021,1928.050049,1942,1906,1937.300049,1931.087891,6134079
17-05-2021,1937.300049,1963.449951,1930.400024,1960.349976,1954.063843,5479424
18-05-2021,1981,2002.599976,1972.5,1987.949951,1981.575317,5567958
19-05-2021,1980,2016.449951,1972,1997.050049,1990.64624,7530294
20-05-2021,1997.900024,2010.900024,1981,1985.400024,1979.033569,5271497
21-05-2021,1992,2009.599976,1986,2002.550049,1996.128662,4977555
24-05-2021,2008,2009.800049,1982,1985.650024,1979.282837,3946636
25-05-2021,1996.400024,1997,1960,1963.150024,1956.85498,6821015
26-05-2021,1975,1979.5,1965.300049,1970.050049,1963.73291,3452113
27-05-2021,1970.300049,1993,1962.25,1976.099976,1969.763428,12377100
28-05-2021,1990,2105,1990,2094.800049,2088.082764,26060864
31-05-2021,2102,2191.699951,2085.050049,2160.300049,2153.372803,27285782
01-06-2021,2166,2202,2146.5,2168.899902,2161.945068,12928379
02-06-2021,2157,2209.5,2157,2201.25,2194.191406,11366816
03-06-2021,2221,2250,2196.100098,2209.649902,2202.564453,11064116
04-06-2021,2214.800049,2216.449951,2184.25,2190.5,2183.47583,6677278
07-06-2021,2202,2242,2185,2227.399902,2220.257568,7539326
08-06-2021,2226.600098,2227.149902,2198.149902,2214.600098,2207.498779,4464889
09-06-2021,2219,2221,2157.949951,2175,2168.025635,5265326
10-06-2021,2193.399902,2230,2177.550049,2183,2176,6532832
11-06-2021,2182.899902,2228,2180.100098,2213.149902,2213.149902,6351520
14-06-2021,2215,2258.25,2195.050049,2244.899902,2244.899902,9383416
15-06-2021,2261,2274.899902,2240.300049,2250,2250,7002898
16-06-2021,2244.899902,2247.050049,2205.850098,2211.600098,2211.600098,4982975
17-06-2021,2200,2235,2179.899902,2215.649902,2215.649902,7266765
18-06-2021,2225.5,2235,2184.350098,2225.649902,2225.649902,13553801
21-06-2021,2203.5,2247.5,2200.149902,2237.25,2237.25,5624044
22-06-2021,2254,2261,2219.350098,2225.75,2225.75,5940386
23-06-2021,2250,2250.600098,2201.699951,2205.350098,2205.350098,7685796
24-06-2021,2206.850098,2214.600098,2140,2153.5,2153.5,42209687
25-06-2021,2153.5,2153.5,2081.100098,2104.449951,2104.449951,25546334
28-06-2021,2122,2126.5,2081,2086,2086,9357852
29-06-2021,2089.5,2109,2084.100098,2087.800049,2087.800049,12526981
30-06-2021,2096.25,2122.649902,2091.050049,2110.649902,2110.649902,9120556
01-07-2021,2118,2123.149902,2095,2097.949951,2097.949951,5784627
02-07-2021,2097,2132.899902,2092.949951,2129.050049,2129.050049,6500973
05-07-2021,2136.449951,2153.550049,2131.5,2150.199951,2150.199951,5400604
06-07-2021,2144.949951,2148.899902,2120.199951,2124.800049,2124.800049,4647361
07-07-2021,2127.75,2127.75,2098,2110.050049,2110.050049,4824931
08-07-2021,2116.949951,2116.949951,2081,2092.600098,2092.600098,5162088
09-07-2021,2088,2091.699951,2066.100098,2071.199951,2071.199951,4170886
12-07-2021,2079.75,2101.5,2074.5,2084.100098,2084.100098,3962111
13-07-2021,2100,2103.050049,2088.050049,2099.699951,2099.699951,3099956
14-07-2021,2100.350098,2106.850098,2081.25,2086,2086,3937768
15-07-2021,2095,2095,2078.5,2082.350098,2082.350098,4360415
16-07-2021,2087.75,2114.75,2087.600098,2112.399902,2112.399902,4074206
19-07-2021,2100,2124,2092.25,2098.949951,2098.949951,3855577
20-07-2021,2099.5,2108,2084,2093.800049,2093.800049,3111185
22-07-2021,2119,2123.899902,2098.149902,2120.699951,2120.699951,3679260
23-07-2021,2134.449951,2134.449951,2102.050049,2105.699951,2105.699951,4585938
26-07-2021,2108,2121,2071.100098,2076.850098,2076.850098,5717830
27-07-2021,2076.800049,2083.699951,2042,2055,2055,4995516
28-07-2021,2058,2058,2016.25,2037.349976,2037.349976,5952355
29-07-2021,2054,2074.399902,2043.400024,2053.25,2053.25,6352886
30-07-2021,2058,2067.949951,2031.099976,2035.300049,2035.300049,5238304
02-08-2021,2054.300049,2079.399902,2041.150024,2072.5,2072.5,5041934
03-08-2021,2090,2091,2064.199951,2087.75,2087.75,5453682
04-08-2021,2094.399902,2114,2087,2103.75,2103.75,6077861
05-08-2021,2114.300049,2154.800049,2104.25,2134.25,2134.25,9807831
06-08-2021,2129.949951,2146.949951,2078.75,2089.050049,2089.050049,7670583
09-08-2021,2081,2089.800049,2066.5,2077.149902,2077.149902,3458546
10-08-2021,2082,2113,2073.75,2088.050049,2088.050049,5500708
11-08-2021,2096.949951,2120,2083.399902,2117.300049,2117.300049,4238859
12-08-2021,2124.899902,2126.199951,2105,2110.5,2110.5,3755507
13-08-2021,2117.300049,2149.899902,2108.949951,2145.649902,2145.649902,5898384
16-08-2021,2149.350098,2203,2128.149902,2173.5,2173.5,10123204
17-08-2021,2168.850098,2185.199951,2147.850098,2164.25,2164.25,5841743
18-08-2021,2174,2186.800049,2152.600098,2172.649902,2172.649902,4650008
20-08-2021,2143,2172,2137,2148.25,2148.25,4350228
23-08-2021,2174,2174,2132.300049,2162.350098,2162.350098,4547802
24-08-2021,2165.050049,2192,2155.600098,2183.699951,2183.699951,5475452
25-08-2021,2185.399902,2220,2180.100098,2202.600098,2202.600098,6175126
26-08-2021,2208,2244.899902,2205,2230.449951,2230.449951,8579105
27-08-2021,2237,2242.75,2216.050049,2227.399902,2227.399902,4836812
